Array Size,tablica losowa,33,66,Desc,100,tablica posortowana w 33%,tablica posortowana w 66%,tablica posortowana malejąco,tablica posortowana rosnąco
5000,22.095992,,,,,20.578025,12.517083,21.341552,0.51315002
10000,94.358521,,,,,83.29548000000001,54.927585,82.72954,1.2685644
20000,372.4587,,,,,316.43603,219.94819,329.72134,3.0124268
40000,1456.8904,,,,,1355.4887,818.07402,1394.2053,8.989599
60000,4506.1181,,,,,2681.8453,2201.2546,3123.53,17.070378
80000,6523.575699999999,,,,,6236.222299999999,4603.3975,7943.1067,27.288421
100000,8711.2214,,,,,8302.6896,6825.630300000001,9215.585799999999,33.96176
