Array Size,tablica losowa,33,66,Desc,100,tablica posortowana w 33%,tablica posortowana w 66%,tablica posortowana malejąco,tablica posortowana rosnąco
5000,19.471208,,,,,17.040744,11.1187151,18.108895,0.02824082
10000,77.545605,,,,,69.550248,45.296277,79.27917099999999,0.0411841
20000,319.34453,,,,,249.93269,160.68515,275.20565,0.08648604
40000,1119.3953,,,,,999.80572,632.0937,1115.65316,0.20311907
60000,4706.8364,,,,,3309.6612,1408.1445,2454.2389,0.3134925
80000,6119.8813,,,,,5625.7345,4189.8249,8498.5092,0.43139093
100000,6917.701899999999,,,,,6150.3316,6947.3954,6862.6989,0.53721368
