Array Size,tablica losowa,33,66,Desc,100,tablica posortowana w 33%,tablica posortowana w 66%,tablica posortowana malejąco,tablica posortowana rosnąco
5000,1.0506697,,,,,1.03863614,0.95313779,1.0066229,0.84116882
10000,2.3988462,,,,,2.3255502,2.3136646,2.1857549,1.8166705
20000,4.758691,,,,,4.6110785,4.3033366,4.8490689,3.6254162
40000,10.208248,,,,,9.8004986,9.3269164,10.0885393,7.4727714
60000,15.814073,,,,,15.033708,13.75672,15.400917,11.873368
80000,21.515689,,,,,20.446831,18.742154,21.99641,15.343758
100000,27.319296,,,,,26.066876,24.218388,26.254012,20.711235
