Array Size,tablica losowa,33,66,Desc,100,tablica posortowana w 33%,tablica posortowana w 66%,tablica posortowana malejąco,tablica posortowana rosnąco
5000,21.676412,,,,,18.734492,12.0407021,19.859444,0.4372618700000001
10000,86.153375,,,,,76.22014,49.681352,85.939305,0.81031001
20000,364.30621,,,,,299.35561,196.24353,321.98548,1.8368119
40000,1347.3695,,,,,1325.3751,812.59237,1320.5233,4.7054261
60000,4451.955,,,,,3398.4635,1706.5803,2972.4089,8.0890757
80000,6411.949100000001,,,,,5945.5793,4124.2583,7743.215200000001,13.317372
100000,8359.886700000001,,,,,7562.3875,6747.8437,8653.2171,19.199468
