Array Size,tablica losowa,33,66,Desc,100,tablica posortowana w 33%,tablica posortowana w 66%,tablica posortowana malejąco,tablica posortowana rosnąco
5000,0.94876558,,,,,0.9105976200000001,0.89812588,0.93051569,0.97176429
10000,2.0802711,,,,,2.0052926,1.9753469,2.3510273,1.710079
20000,4.288363,,,,,4.1203741,3.9718113,4.3629574,3.4835561
40000,9.0618233,,,,,8.7681209,8.2230755,9.2993651,7.0818958
60000,14.077369,,,,,13.24615,12.477424,13.853197,10.472978
80000,18.727293,,,,,18.096237,16.992427,21.038464,14.149354
100000,23.955888,,,,,22.918807,23.419076,25.302582,19.833747
